DeviceId,ArrivalTime,DepartureTime,DurationSeconds,StreetMarker,Sign,Area,StreetId,StreetName,BetweenStreet1,BetweenStreet2,Side Of Street,In Violation
19711,08/11/2017 02:19:50 PM,08/11/2017 07:12:02 PM,17532,C6698,2P MTR M-SAT 7:30-20:30,Titles,681,FRANKLIN STREET,QUEEN STREET,ELIZABETH STREET,1,FALSE
18053,02/07/2017 06:01:21 AM,02/07/2017 06:16:12 AM,891,C1024,,Banks,1171,QUEEN STREET,FLINDERS STREET,FLINDERS LANE,1,FALSE
23073,12/21/2017 04:05:57 PM,12/21/2017 04:49:58 PM,2641,3801S,1P TKT A M-SAT 7:30-18:30,Titles,856,LA TROBE STREET,QUEEN STREET,ELIZABETH STREET,4,FALSE
19680,09/04/2017 04:04:33 PM,09/04/2017 04:29:57 PM,1524,6542N,1/2P MTR M-SAT 7:30-19:30,The Mac,681,FRANKLIN STREET,ELIZABETH STREET,SWANSTON STREET,3,FALSE
18443,06/12/2017 11:31:58 AM,06/12/2017 02:24:01 PM,10323,59W,2P MTR M-SAT 7:30-20:30,Princes Theatre,1288,SPRING STREET,LITTLE BOURKE STREET,BOURKE STREET,5,FALSE
17416,02/11/2017 05:16:11 PM,02/11/2017 05:17:39 PM,88,13383W,2P TKT A SAT 7:30-20:30,Docklands,1383,VILLAGE STREET,COLLINS STREET,BRENTANI WAY,5,FALSE
18350,05/03/2017 10:50:03 AM,05/03/2017 12:50:29 PM,7226,C308,2P MTR M-SAT 7:30-20:30,Hyatt,647,EXHIBITION STREET,COLLINS STREET,FLINDERS LANE,1,FALSE
18302,02/17/2017 07:30:00 AM,02/17/2017 08:58:50 AM,5330,551W,2P MTR M-SAT 7.30 -16.30,Regency,647,EXHIBITION STREET,LITTLE LONSDALE STREET,LONSDALE STREET,5,FALSE
21621,08/29/2017 05:36:23 PM,08/29/2017 06:17:57 PM,2494,9078N,2P TKT A M-F 7:30-18:30,Southbank,60,BALSTON STREET,CITY ROAD,KAVANAGH STREET,3,FALSE
17988,08/28/2017 12:39:48 PM,08/28/2017 12:42:32 PM,164,1355W,1/4P M-F 7:30-19:30,Supreme,1428,WILLIAM STREET,LONSDALE STREET,LITTLE BOURKE STREET,5,FALSE
18669,01/04/2017 07:39:33 AM,01/04/2017 08:03:43 AM,1450,2234N,1P MTR M-SAT 7:30-18:30,RACV,911,LITTLE COLLINS STREET,WILLIAM STREET,QUEEN STREET,3,FALSE
17854,07/11/2017 06:20:35 PM,07/11/2017 06:22:00 PM,85,1478E,,County,839,KING STREET,LITTLE BOURKE STREET,BOURKE STREET,2,FALSE
18003,09/07/2017 04:03:05 PM,09/07/2017 04:03:25 PM,20,1375W,1P MTR M-SAT 7:30-18:30,Mint,1428,WILLIAM STREET,LA TROBE STREET,LITTLE LONSDALE STREET,5,FALSE
17416,01/10/2017 12:50:25 PM,01/10/2017 12:53:44 PM,199,1565W,2P TKT A M-F 9:30-16:00,Magistrates,1285,SPENCER STREET,LITTLE LONSDALE STREET,LONSDALE STREET,5,FALSE
21798,12/05/2017 05:47:51 PM,12/05/2017 06:12:41 PM,1490,9363S,2P TKT A M-F 7:30-18:30,Southbank,547,COVENTRY STREET,DODDS STREET,WELLS STREET,4,FALSE
17425,05/08/2017 05:39:12 PM,05/08/2017 05:44:34 PM,322,13403W,1/4P M-F 16:00-18:30,Docklands,1383,VILLAGE STREET,BRENTANI WAY,MCCRAE STREET,5,FALSE
18972,09/04/2017 01:54:16 PM,09/04/2017 02:01:29 PM,433,C2922,1P MTR M-SAT 7:30-19:30,Hardware,894,LONSDALE STREET,QUEEN STREET,ELIZABETH STREET,1,FALSE
19563,10/11/2017 03:31:27 PM,10/11/2017 03:35:53 PM,266,4576E,2P MTR M-SAT 7:30-20:30,The Mac,1221,RUSSELL STREET,VICTORIA STREET,LA TROBE STREET,2,FALSE
17786,08/30/2017 06:52:51 AM,08/30/2017 09:44:07 AM,10276,1386E,,Rialto,839,KING STREET,FLINDERS LANE,FLINDERS STREET,2,FALSE
17998,10/09/2017 07:30:00 AM,10/09/2017 11:27:57 AM,14277,1370E,1P TKT A M-SAT 7:30-18:30,Mint,1428,WILLIAM STREET,LA TROBE STREET,LITTLE LONSDALE STREET,2,TRUE
18034,03/10/2017 08:15:25 AM,03/10/2017 08:17:44 AM,139,1268E,1P MTR M-SAT 7:30-18:30,Titles,1171,QUEEN STREET,LA TROBE STREET,LITTLE LONSDALE STREET,2,FALSE
17394,06/13/2017 02:01:09 PM,06/13/2017 05:44:54 PM,13425,13354E,2P MTR M-SAT 7:30-18:30,Docklands,753,HARBOUR ESPLANADE,LA TROBE STREET,BOURKE STREET,2,FALSE
21595,07/15/2017 01:18:10 PM,07/15/2017 01:18:59 PM,49,8018E,,Southbank,1416,WELLS STREET,COVENTRY STREET,DORCAS STREET,2,FALSE
21226,01/01/2017 06:00:00 PM,01/01/2017 10:31:05 PM,16265,12387S,,Jolimont,178,CATHEDRAL PLACE,GISBORNE STREET,LANSDOWNE STREET,4,FALSE
22124,07/11/2017 04:50:24 PM,07/11/2017 11:00:00 PM,22176,11513S,1P TKT RPE M-SAT 7:30-23:00,West Melbourne,818,JEFFCOTT STREET,KING STREET,SPENCER STREET,4,TRUE
18138,01/18/2017 06:59:57 PM,01/18/2017 07:02:06 PM,129,C1254,2P MTR M-SAT 7:30-20:30,Titles,1171,QUEEN STREET,LA TROBE STREET,LITTLE LONSDALE STREET,1,FALSE
21213,07/27/2017 01:35:37 PM,07/27/2017 01:36:39 PM,62,12367S,2P MTR M-F 9:30-18:30,East Melbourne,16,ALBERT STREET,LANSDOWNE STREET,EADES STREET,4,FALSE
19985,11/16/2017 10:38:34 AM,11/16/2017 07:04:32 PM,30358,7060N,3P MTR M-SAT 7:30-20:30,Queensberry,614,DUDLEY STREET,MILTON STREET,WILLIAM STREET,3,FALSE
19325,10/21/2017 09:38:26 AM,10/21/2017 12:28:36 PM,10210,3761S,1P TKT A M-SAT 7:30-18:30,The Mac,856,LA TROBE STREET,ELIZABETH STREET,SWANSTON STREET,4,FALSE
19507,02/22/2017 07:52:16 AM,02/22/2017 09:53:19 AM,7263,6254N,4P TKT A M-SAT 7:30-20:30,Regency,941,MACKENZIE STREET,RUSSELL STREET,VICTORIA STREET,3,FALSE
21283,08/25/2017 07:22:32 AM,08/25/2017 07:30:00 AM,448,12477S,,Jolimont,1290,ST ANDREWS PLACE,MACARTHUR STREET,LANSDOWNE STREET,4,FALSE
18960,08/28/2017 01:10:38 PM,08/28/2017 01:12:06 PM,88,2890N,1P MTR M-F 7:30-16:00,Library,894,LONSDALE STREET,SWANSTON STREET,RUSSELL STREET,3,FALSE
19032,02/03/2017 06:10:50 AM,02/03/2017 06:12:07 AM,77,C3058,,Supreme,894,LONSDALE STREET,WILLIAM STREET,QUEEN STREET,1,FALSE
18802,04/28/2017 08:08:20 AM,04/28/2017 09:37:24 AM,5344,2504N,LZ 15M M-F 7:30-19:30,Princes Theatre,907,LITTLE BOURKE STREET,EXHIBITION STREET,SPRING STREET,3,FALSE
16148,01/01/2017 03:41:25 PM,01/01/2017 06:16:39 PM,9314,11526N,,West Melbourne,818,JEFFCOTT STREET,KING STREET,SPENCER STREET,3,FALSE
21470,01/21/2017 07:30:00 AM,01/21/2017 10:15:07 AM,9907,9850N,2P TKT A M-SAT 7:30-18:30,Southbank,728,GRANT STREET,WELLS STREET,ST KILDA ROAD,3,FALSE
17745,07/11/2017 11:34:48 PM,07/12/2017 12:00:00 AM,1512,C13572,,Docklands,123,BOURKE STREET,GEOGRAPHE STREET,ENTERPRIZE WAY,1,FALSE
17412,10/11/2017 05:39:20 AM,10/11/2017 06:24:33 AM,2713,13375W,,Docklands,1383,VILLAGE STREET,FISHPLATE LANE,COLLINS STREET,5,FALSE
20481,03/30/2017 07:30:00 AM,03/30/2017 07:46:02 AM,962,10194E,1P TKT A M-F 7:30-18:30,Queensberry,641,ERROL STREET,QUEENSBERRY STREET,VICTORIA STREET,2,FALSE
17988,07/19/2017 04:34:05 PM,07/19/2017 04:43:09 PM,544,1355W,1/4P M-F 7:30-19:30,Supreme,1428,WILLIAM STREET,LONSDALE STREET,LITTLE BOURKE STREET,5,FALSE
18400,02/06/2017 10:21:23 PM,02/07/2017 12:00:00 AM,5917,C556,,Regency,647,EXHIBITION STREET,LITTLE LONSDALE STREET,LONSDALE STREET,1,FALSE
21146,04/22/2017 11:23:13 AM,04/22/2017 12:30:00 PM,4007,12280N,1/4P SAT 7:30-12:30,Jolimont,16,ALBERT STREET,MORRISON PLACE,LANSDOWNE STREET,3,FALSE
21153,10/21/2017 11:38:40 AM,10/21/2017 11:54:54 AM,974,12287S,1P MTR SAT 7:30-12:30,Jolimont,16,ALBERT STREET,MORRISON PLACE,LANSDOWNE STREET,4,FALSE
19581,03/16/2017 02:30:41 PM,03/16/2017 02:40:13 PM,572,C7414,2P TKT A M-SAT 7:30-20:30,Regency,647,EXHIBITION STREET,VICTORIA STREET,LA TROBE STREET,1,FALSE
18304,04/04/2017 03:39:33 PM,04/04/2017 03:41:25 PM,112,554E,2P MTR M-SAT 7:30-20:30,Regency,647,EXHIBITION STREET,LITTLE LONSDALE STREET,LONSDALE STREET,2,FALSE
19355,07/07/2017 03:40:58 PM,07/07/2017 03:42:13 PM,75,3875S,,Mint,856,LA TROBE STREET,WILLIAM STREET,QUEEN STREET,4,FALSE
18543,03/31/2017 07:28:14 AM,03/31/2017 07:39:46 AM,692,1718N,,Markilles,670,FLINDERS STREET,SPENCER STREET,KING STREET,3,FALSE
18222,03/14/2017 09:41:21 PM,03/15/2017 12:00:00 AM,8319,C676,,City Square,1221,RUSSELL STREET,LITTLE COLLINS STREET,COLLINS STREET,1,FALSE
18552,12/25/2017 03:57:18 PM,12/25/2017 04:05:28 PM,490,1736N,1P MTR M-SAT 7:30-18:30,Twin Towers,669,FLINDERS LANE,EXHIBITION STREET,SPRING STREET,3,FALSE
19317,01/01/2017 02:53:27 AM,01/01/2017 02:55:43 AM,136,3745S,,The Mac,856,LA TROBE STREET,ELIZABETH STREET,SWANSTON STREET,4,FALSE
18148,02/10/2017 11:43:21 PM,02/10/2017 11:50:01 PM,400,C988,,Banks,1171,QUEEN STREET,FLINDERS STREET,FLINDERS LANE,1,FALSE
21180,05/20/2017 05:13:24 PM,05/20/2017 10:26:33 PM,18789,12331S,,East Melbourne,16,ALBERT STREET,LANSDOWNE STREET,EADES STREET,4,FALSE
18095,02/17/2017 12:32:48 PM,02/17/2017 12:33:07 PM,19,C1138,1P MTR M-SAT 7:30-19:30,Hardware,1171,QUEEN STREET,LITTLE BOURKE STREET,BOURKE STREET,1,FALSE
21749,08/18/2017 09:00:00 PM,08/19/2017 12:00:00 AM,10800,9294N,,Southbank,547,COVENTRY STREET,WELLS STREET,ST KILDA ROAD,3,FALSE
21782,11/22/2017 10:28:51 AM,11/22/2017 10:30:53 AM,122,9206N,1P TKT A M-F 7:30-18:30,Southbank,597,DORCAS STREET,KINGS WAY,DODDS STREET,3,FALSE
18726,07/16/2017 06:30:00 PM,07/16/2017 07:50:06 PM,4806,2365S,,Windsor,123,BOURKE STREET,RUSSELL STREET,EXHIBITION STREET,4,FALSE
18323,02/07/2017 09:06:53 PM,02/07/2017 09:08:22 PM,89,630E,,Regency,647,EXHIBITION STREET,LA TROBE STREET,LITTLE LONSDALE STREET,2,FALSE
18068,08/07/2017 10:35:37 AM,08/07/2017 11:30:21 AM,3284,C1094,1P MTR M-SAT 7:30-19:30,McKillop,1171,QUEEN STREET,LITTLE COLLINS STREET,COLLINS STREET,1,FALSE
18769,07/06/2017 08:25:20 PM,07/06/2017 08:25:59 PM,39,2470N,2P MTR M-SAT 18.30 - 20.30,Family,123,BOURKE STREET,KING STREET,WILLIAM STREET,3,FALSE
17863,04/06/2017 05:55:29 PM,04/06/2017 05:58:27 PM,178,1494E,,County,839,KING STREET,LONSDALE STREET,LITTLE BOURKE STREET,2,FALSE
18151,08/01/2017 08:59:40 PM,08/01/2017 09:03:21 PM,221,894E,,Degraves,627,ELIZABETH STREET,FLINDERS STREET,FLINDERS LANE,2,FALSE
20782,10/19/2017 02:13:32 PM,10/19/2017 02:15:18 PM,106,C9142,2P TKT A M-SAT 7:30-18:30,University,655,FARADAY STREET,SWANSTON STREET,CARDIGAN STREET,1,FALSE
19162,05/24/2017 09:54:42 AM,05/24/2017 11:00:43 AM,3961,3412N,2P MTR M-SAT 7:30-20:30,Library,926,LITTLE LONSDALE STREET,SWANSTON STREET,RUSSELL STREET,3,FALSE
18680,04/29/2017 11:17:01 AM,04/29/2017 11:35:09 AM,1088,2254N,1P TKT A M-SAT 7:30-19:30,Family,911,LITTLE COLLINS STREET,KING STREET,WILLIAM STREET,3,FALSE
18018,09/18/2017 01:48:55 PM,09/18/2017 01:59:06 PM,611,1200E,1/2P MTR M-F 7:30-16:30,Hardware,1171,QUEEN STREET,LONSDALE STREET,LITTLE BOURKE STREET,2,FALSE
18078,11/28/2017 07:30:00 PM,11/28/2017 09:12:48 PM,6168,C1111,,McKillop,1171,QUEEN STREET,BOURKE STREET,LITTLE COLLINS STREET,1,FALSE
20618,08/19/2017 12:38:50 PM,08/19/2017 01:31:50 PM,3180,5060E,2P S-S 7:30-18:30,Courtney,1062,O'CONNELL STREET,COBDEN STREET,VICTORIA STREET,2,FALSE
19607,12/10/2017 04:17:14 PM,12/10/2017 04:17:59 PM,45,5990N,2P SUN 7:30-18:30,Titles,5,A'BECKETT STREET,QUEEN STREET,ELIZABETH STREET,3,FALSE
